,strain,name
1161,hybrid,fire alien romulan
1162,hybrid,fire alien strawberry
1163,hybrid,fire alien urkle
1164,sativa,fire haze
1165,hybrid,fire og
1166,sativa,firewalker og
1167,hybrid,first 48
1168,hybrid,first light
1169,indica,flaming cookies
1170,hybrid,flo
1171,sativa,flo limone
1172,indica,flo og
1173,hybrid,flo walker
1174,hybrid,florida og
1175,indica,flowerbomb kush
1176,hybrid,flowers for algernon
1177,indica,focaccia
1178,indica,forbidden fruit
1179,hybrid,forbidden zkittlez
1180,hybrid,formula one
1181,hybrid,fortune cookies
1182,hybrid,forum cut cookies s1
1183,indica,foul mouth
1184,hybrid,flowers for algernon
1185,indica,focaccia
1186,indica,forbidden fruit
1187,hybrid,forbidden zkittlez
1188,hybrid,formula one
1189,hybrid,fortune cookies
1190,hybrid,forum cut cookies s1
1191,indica,foul mouth
1192,hybrid,four cups
1193,hybrid,four star general
1194,indica,four way
1195,hybrid,franks gift
1196,indica,frankenstein
1197,indica,fred flipn stoned
1198,indica,freezeland
1199,indica,french bread
1200,indica,frida
1201,hybrid,frisian dew
1202,hybrid,frisian duck
1203,sativa,frostbite
1204,hybrid,frosted cherry cookies
1205,hybrid,frosted freak
1206,indica,frosty
1207,hybrid,frosty jesus
1208,hybrid,frozen tangerines
1209,hybrid,fruit crusher
1210,hybrid,fruit loop og
1211,hybrid,fruit loops
1212,sativa,fruit punch
1213,hybrid,fruit spirit
1214,indica,fruity chronic juice
1215,hybrid,fruity juice
1216,hybrid,fruity widow
1217,indica,fruitylicious
1218,indica,fucking incredible
1219,sativa,full moon
1220,hybrid,funfetti
1221,indica,funky monkey
1222,hybrid,future
1223,hybrid,fuzzy navel
1224,hybrid,g cut
1225,indica,g force
1226,indica,g1000
1227,hybrid,goat
1228,indica,g 13
1229,hybrid,g13 diesel
1230,hybrid,g13 haze
1231,hybrid,g13 widow
1232,hybrid,gdp electric
1233,hybrid,gi 001
1234,indica,gmo cookies
1235,hybrid,griz kush
1236,hybrid,gsc
1237,hybrid,gto
1238,hybrid,gabriel sherbet
1239,sativa,galactic jack
1240,hybrid,gdp electric
1241,hybrid,gi 001
1242,indica,gmo cookies
1243,hybrid,griz kush
1244,hybrid,gsc
1245,hybrid,gto
1246,hybrid,gabriel sherbet
1247,sativa,galactic jack
1248,indica,galactica og
1249,hybrid,game changer
1250,hybrid,gammaberry
1251,indica,gandalf og
1252,hybrid,ganesh berry
1253,indica,garlic bud
1254,indica,gas mask
1255,hybrid,gaswerx
1256,hybrid,gatekeeper og
1257,hybrid,gelato
1258,hybrid,gelato 33
1259,hybrid,gemstone
1260,hybrid,georgia pine
1261,hybrid,ghetto bird
1262,hybrid,ghost bubba
1263,hybrid,ghost cookies
1264,hybrid,ghost og
1265,indica,ghost og moonshine
1266,indica,ghost rider og
1267,indica,ghost ship
1268,hybrid,ghost tange haze
1269,sativa,ghost train haze
1270,hybrid,ghostbreath
1271,indica,gigabud
1272,hybrid,gilz nilz
1273,hybrid,ginger ale
1274,hybrid,ginger punch
1275,hybrid,glad max
1276,hybrid,glass apple
1277,hybrid,glass slipper
1278,hybrid,glue tech
1279,hybrid,gluechee
1280,hybrid,gnome walker
1281,hybrid,go time
1282,hybrid,goat head
1283,indica,gobbilygoo
1284,indica,gobbstopper
1285,indica,god bud
1286,indica,gods gift
1287,hybrid,gods green crack
1288,indica,godberry
1289,indica,godfather og
1290,indica,godfather purple kush
1291,indica,godzilla
1292,hybrid,godzilla blood
1293,hybrid,godzilla glue
1294,indica,gods bubba
1295,indica,gods treat
1296,indica,godberry
1297,indica,godfather og
1298,indica,godfather purple kush
1299,indica,godzilla
1300,hybrid,godzilla blood
1301,hybrid,godzilla glue
1302,indica,gods bubba
1303,indica,gods treat
1304,indica,gog magog
1305,hybrid,goji diesel
1306,hybrid,goji og
1307,sativa,gold kings thai
1308,hybrid,gold star
1309,indica,goldberry
1310,sativa,golden calyx
1311,hybrid,golden gage
1312,hybrid,golden goat
1313,hybrid,golden lemon
1314,hybrid,golden nugget
1315,hybrid,golden panda
1316,hybrid,golden pineapple
1317,hybrid,golden soda
1318,indica,golden state banana
1319,sativa,golden tangie
1320,hybrid,golden ticket
1321,sativa,golden tiger
1322,sativa,goldwing
1323,indica,goo
1324,indica,gooberry
1325,hybrid,good medicine
1326,indica,gorilla biscuit
1327,hybrid,gorilla breath
1328,hybrid,gorilla cookies
1329,hybrid,gorilla girl
1330,indica,gorilla grips
1331,hybrid,gorilla snacks
1332,sativa,gorkle
1333,indica,government mule
1334,indica,grand doggy purps
1335,indica,grand hindu
1336,hybrid,grand hustle
1337,indica,granddaddy purple
1338,hybrid,granddaddy wonder
1339,hybrid,grandma andersons cookies
1340,hybrid,grandmas batch
1341,indica,grandmas sugar cookies
1342,indica,grandpa larry og
1343,indica,grandpas breath
1344,hybrid,grandpas stash
1345,hybrid,granola funk
1346,indica,grape ape
1347,hybrid,grape bubba
1348,hybrid,grape cake
1349,hybrid,grape calyx
1350,hybrid,grape candy
1351,indica,grape cookies
1352,hybrid,grandpas stash
1353,hybrid,granola funk
1354,indica,grape ape
1355,hybrid,grape bubba
1356,hybrid,grape cake
1357,hybrid,grape calyx
1358,hybrid,grape candy
1359,indica,grape cookies
1360,hybrid,grape dawg
1361,indica,grape drink
1362,hybrid,grape god
1363,hybrid,grape god bud
1364,indica,grape inferno
1365,hybrid,grape jelly
1366,indica,grape krush
1367,hybrid,grape krush throwback
1368,hybrid,grape kush
1369,indica,grape ox
1370,indica,grape skunk
1371,hybrid,grape smuggler
1372,hybrid,grape soda
1373,hybrid,sour grapes
1374,indica,grape valley kush
1375,hybrid,grape vine
1376,sativa,grapefruit
1377,hybrid,grapefruit diesel
1378,sativa,grapefruit haze
1379,hybrid,grapefruit kush
1380,indica,gravity
1381,hybrid,grease monkey
1382,sativa,white shark
1383,hybrid,green avenger
1384,sativa,green candy
1385,hybrid,green cheese
1386,sativa,green crack
1387,hybrid,green crack cbd
1388,sativa,green crack extreme
1389,hybrid,green door kush
1390,indica,green dragon
1391,hybrid,green dream
1392,sativa,green goblin
1393,hybrid,green goddess
1394,sativa,green haze
1395,hybrid,green hornet
1396,indica,green kush
1397,sativa,green lantern
1398,hybrid,green line og
1399,indica,green love potion
1400,hybrid,green magic
1401,indica,green mango
1402,hybrid,green monster
1403,indica,green poison
1404,indica,green python
1405,hybrid,green queen
1406,hybrid,green ribbon
1407,hybrid,gremlin
1408,hybrid,green magic
1409,indica,green mango
1410,hybrid,green monster
1411,indica,green poison
1412,indica,green python
1413,hybrid,green queen
1414,hybrid,green ribbon
1415,hybrid,gremlin
1416,hybrid,grilled cheese
1417,indica,grimace
1418,indica,grimace og
1419,indica,grimmdica
1420,indica,guard dawg
1421,hybrid,guava cake
1422,hybrid,guava chem
1423,hybrid,guava dub star
1424,hybrid,guava gelato
1425,hybrid,guava kush
1426,hybrid,gucci og
1427,indica,guido kush
1428,indica,gumbo
1429,hybrid,gummo
1430,hybrid,gummy bears
1431,hybrid,gupta haze
1432,hybrid,gupta kush
1433,hybrid,guptilla
1434,indica,gutbuster
1435,hybrid,gypsy kush
1436,indica,hades haze
1437,indica,hades og
1438,hybrid,haleighs hope
1439,indica,hammerhead
1440,hybrid,hammershark
1441,indica,hannibal nectar
1442,hybrid,haole
1443,indica,haoma
1444,hybrid,haoma mist
1445,hybrid,happy rancher
1446,indica,hardcore og
1447,hybrid,harle tsu
1448,sativa,harlequin
1449,hybrid,harlequin gdp
1450,sativa,harley storm
1451,sativa,harley twin
1452,indica,harmonia
1453,hybrid,harmony
1454,hybrid,harry potter
1455,indica,hash plant
1456,indica,hashbar og
1457,indica,hashberry
1458,sativa,hashplant haze
1459,hybrid,havarra wedding
1460,sativa,hawaiian
1461,hybrid,hawaiian cookies
1462,indica,hawaiian delight
1463,sativa,hawaiian diesel
1464,indica,hashbar og
1465,indica,hashberry
1466,sativa,hashplant haze
1467,hybrid,havarra wedding
1468,sativa,hawaiian
1469,hybrid,hawaiian cookies
1470,indica,hawaiian delight
1471,sativa,hawaiian diesel
1472,sativa,hawaiian dream
1473,indica,hawaiian duckfoot
1474,hybrid,hawaiian fire
1475,sativa,hawaiian haze
1476,sativa,hawaiian mayan gold
1477,sativa,hawaiian punch
1478,indica,hawaiian purple kush
1479,sativa,hawaiian sativa
1480,hybrid,hawaiian skunk
1481,sativa,hawaiian snow
1482,hybrid,hawaiian sunrise
1483,hybrid,hawaiian thunder fuck
1484,hybrid,hawaiian trinity
1485,sativa,hawaii 78
1486,sativa,hayleys haze
1487,sativa,haze
1488,sativa,haze berry
1489,hybrid,haze heaven
1490,sativa,haze mist
1491,sativa,haze wreck
1492,hybrid,hazmat og
1493,hybrid,head cheese
1494,hybrid,head trip
1495,hybrid,headband
1496,hybrid,headband cookies bx1
1497,hybrid,headbanger
1498,hybrid,heatwave
1499,hybrid,heaven scent
1500,hybrid,heavenly og
1501,hybrid,heavy duty fruity
1502,sativa,heisenberg kush
1503,hybrid,hell raiser og
1504,hybrid,hells og
1505,hybrid,hellfire og
1506,hybrid,hemlock
1507,sativa,hempstar
1508,hybrid,hercules
1509,indica,herojuana
1510,hybrid,hibiscus sunrise
1511,hybrid,high five
1512,hybrid,high noon irish cream
1513,hybrid,high school sweetheart
1514,sativa,higher power
1515,hybrid,highwayman
1516,indica,himalayan blackberry
1517,hybrid,himalayan gold
1518,indica,hindu kush
1519,indica,hindu skunk
1520,hybrid,high noon irish cream
1521,hybrid,high school sweetheart
1522,sativa,higher power
1523,hybrid,highwayman
1524,indica,himalayan blackberry
1525,hybrid,himalayan gold
1526,indica,hindu kush
1527,indica,hindu skunk
1528,hybrid,hindu sour
1529,sativa,hippie chicken
1530,hybrid,hippie crippler
1531,hybrid,hoarfrost
1532,hybrid,hobbit
1533,indica,hogs breath
1534,indica,hollands hope
1535,hybrid,hollyweed
1536,hybrid,hollywood og
1537,hybrid,holy ghost
1538,hybrid,holy grail kush
1539,hybrid,holy punch
1540,hybrid,holy roller
1541,sativa,honduras
1542,hybrid,honey bananas
1543,indica,honey boo boo
1544,hybrid,honey lemon cheese
1545,hybrid,honey rock
1546,hybrid,hong kong
1547,sativa,hoodwreck
1548,sativa,horace
1549,hybrid,huckleberries
1550,hybrid,huckleberry
1551,hybrid,huckleberry cough
1552,hybrid,huckleberry desstar
1553,hybrid,huckleberry diesel
1554,hybrid,huckleberry hound
1555,hybrid,huckleberry soda
1556,indica,hulkamania
1557,hybrid,humboldt
1558,indica,humboldt dream
1559,hybrid,humboldt hawaiian
1560,indica,humboldt headband
1561,hybrid,humboldt sour diesel
1562,indica,humdinger og
1563,hybrid,hurkle
1564,sativa,hurricane
1565,hybrid,hustler kush
1566,hybrid,i 95
1567,hybrid,iced grapefruit
1568,indica,ifc og
1569,hybrid,ig kush
1570,hybrid,ice
1571,hybrid,ice cream
1572,indica,ice cream cake
1573,hybrid,ice princess
1574,hybrid,ice queen
1575,hybrid,ice wreck
1576,indica,ifc og
1577,hybrid,ig kush
1578,hybrid,ice
1579,hybrid,ice cream
1580,indica,ice cream cake
1581,hybrid,ice princess
1582,hybrid,ice queen
1583,hybrid,ice wreck
1584,indica,iced widow
1585,indica,ill og
1586,indica,illuminati og
1587,sativa,in the pines
1588,indica,incredible bulk
1589,sativa,incredible hulk
1590,hybrid,industrial plant
1591,indica,ingrid
1592,hybrid,intergalactic
1593,sativa,inzane in the membrane
1594,hybrid,irene kush
1595,indica,irish cream
1596,hybrid,iron triangle
1597,sativa,island haze
1598,sativa,island maui haze
1599,hybrid,island poison
1600,sativa,island sweet skunk
1601,hybrid,ivan
1602,hybrid,js famous kush
1603,sativa,j 27
1604,hybrid,j1
1605,indica,jr
1606,indica,jt15
1607,hybrid,jabbas stash
1608,hybrid,jack 47
1609,indica,jack burton
1610,sativa,jack diesel
1611,hybrid,jack flash
1612,hybrid,jack frost
1613,hybrid,jack haze
1614,sativa,jack herer
1615,hybrid,jack kush
1616,sativa,jack skellington
1617,sativa,jack smack
1618,hybrid,jack widow
1619,sativa,jack wreck
1620,hybrid,jack of spades
1621,sativa,jack the ripper
1622,sativa,jacks cleaner
1623,hybrid,jacks dream
1624,sativa,jackalope
1625,hybrid,jacked up
1626,hybrid,jacky girl
1627,sativa,jacky white
1628,hybrid,jacks dragon girl 7
1629,hybrid,jacks girl
1630,indica,jah goo
1631,hybrid,jah kush
1632,sativa,jackalope
1633,hybrid,jacked up
1634,hybrid,jacky girl
1635,sativa,jacky white
1636,hybrid,jacks dragon girl 7
1637,hybrid,jacks girl
1638,indica,jah goo
1639,hybrid,jah kush
1640,sativa,jahwaiian
1641,sativa,jamaican
1642,sativa,jamaican dream
1643,sativa,jamaican lion
1644,sativa,jamaican pearl
1645,hybrid,jamba juice
1646,hybrid,jane doe
1647,hybrid,jasmin
1648,indica,jawa pie
1649,hybrid,jazz
1650,hybrid,jean guy
1651,indica,jedi kush
1652,indica,jelly roll
1653,sativa,jenni
1654,hybrid,jenny kush
1655,sativa,jericho haze
1656,hybrid,jerusalem express
1657,indica,jesses girl
1658,hybrid,jesus
1659,indica,jesus og
1660,hybrid,jet fuel
1661,hybrid,jilly dawg
1662,hybrid,jillybean
1663,hybrid,jim og
1664,hybrid,jimi hendrix
1665,sativa,jock horror
1666,hybrid,joes dank
1667,sativa,joes lemonade
1668,sativa,johnnys tonic
1669,indica,jorges diamond
1670,indica,josh d og
1671,hybrid,juicy fruit
1672,hybrid,juicy jack
1673,hybrid,juliet
1674,hybrid,julius caesar
1675,hybrid,jungle juice
1676,hybrid,jungle scout cookies
1677,hybrid,jungle spice
1678,indica,jupiter og
1679,indica,k train
1680,hybrid,k1
1681,hybrid,k2
1682,hybrid,kc 33
1683,indica,kc 36
1684,hybrid,kt dawg
1685,sativa,kaboom
1686,hybrid,kahavvai mode
1687,indica,kahuna
1688,hybrid,k1
1689,hybrid,k2
1690,hybrid,kc 33
1691,indica,kc 36
1692,hybrid,kt dawg
1693,sativa,kaboom
1694,hybrid,kahavvai mode
1695,indica,kahuna
1696,hybrid,kaia kush
1697,hybrid,kailua pua
1698,hybrid,kalalau kush
1699,hybrid,kalashnikova
1700,hybrid,kaleidos dope
1701,sativa,kali 47
1702,indica,kali china
1703,hybrid,kali dog
1704,sativa,kali mist
1705,indica,kandahar
1706,hybrid,kandy kush
1707,hybrid,kaptns grand dream
1708,indica,karibbean mango
1709,hybrid,karma bitch
1710,hybrid,karma og
1711,indica,karmarado og
1712,indica,kashmir kush
1713,indica,katsu bubba kush
1714,indica,katsu kush
1715,sativa,kauai electric
1716,indica,kelly hill gold
1717,hybrid,kens kush
1718,sativa,kerala
1719,sativa,kerala krush
1720,sativa,kerosene
1721,indica,ketama
1722,hybrid,key lime pie
1723,hybrid,keystone kush
1724,hybrid,khalifa kush
1725,hybrid,khola
1726,indica,khufu
1727,hybrid,kid n cookies
1728,sativa,kilimanjaro
1729,hybrid,kill bill
1730,hybrid,killer grape
1731,hybrid,killer queen
1732,sativa,killing fields
1733,hybrid,kimbo kush
1734,hybrid,king cake
1735,hybrid,king kong
1736,indica,king louis
1737,hybrid,king thunder fuck
1738,sativa,kings bread
1739,indica,king kush
1740,hybrid,kings banner
1741,hybrid,kiss
1742,indica,kiwiskunk
1743,indica,kobain kush
1744,indica,king louis
1745,hybrid,king thunder fuck
1746,sativa,kings bread
1747,indica,king kush
1748,hybrid,kings banner
1749,hybrid,kiss
1750,indica,kiwiskunk
1751,indica,kobain kush
1752,hybrid,koloa sunrise
1753,sativa,koloa sunrise 47e37470d89f4b7890fa89ea59393eb6
1754,sativa,kona gold
1755,hybrid,kong
1756,indica,kool aid smile
1757,hybrid,koolato
1758,indica,kosher kush
1759,hybrid,kosher tangie
1760,hybrid,krakatoa
1761,indica,kraken
1762,indica,kreamy karamel
1763,indica,krishna kush
1764,indica,kritikal k
1765,indica,kryptonite
1766,hybrid,kuato
1767,indica,kubbie kush
1768,hybrid,kuchi
1769,hybrid,kurple fantasy
1770,hybrid,kush ben yamini
1771,hybrid,kush cleaner
1772,hybrid,kush hemp
1773,hybrid,kush rise
1774,hybrid,kush n cheese
1775,indica,kushadelic
1776,hybrid,kushage
1777,hybrid,kushashima
1778,indica,kushberry
1779,hybrid,leagle eagle
1780,hybrid,la sunshine
1781,indica,lak federal reserve
1782,hybrid,la cake
1783,hybrid,la chocolat
1784,indica,la confidential
1785,hybrid,la jack
1786,hybrid,la kookies
1787,hybrid,la kush
1788,indica,la og
1789,indica,la ultra
1790,hybrid,la woman
1791,hybrid,lapd
1792,hybrid,lsd
1793,hybrid,lvpk
1794,hybrid,la blanca
1795,indica,la blanca gold
1796,sativa,la nina
1797,sativa,la reina de africa
1798,hybrid,lady liberty
1799,hybrid,ladyburn 1974
1800,hybrid,lsd
1801,hybrid,lvpk
1802,hybrid,la blanca
1803,indica,la blanca gold
1804,sativa,la nina
1805,sativa,la reina de africa
1806,hybrid,lady liberty
1807,hybrid,ladyburn 1974
1808,hybrid,lake of fire
1809,sativa,lamb s bread
1810,hybrid,lambo og
1811,hybrid,lamborghini
1812,hybrid,lambs in space
1813,hybrid,landos stash
1814,hybrid,larry bird kush
1815,hybrid,larry og
1816,indica,las vegas purple kush bx
1817,indica,lashkar gah
1818,sativa,laughing buddha
1819,hybrid,laughing gas
1820,indica,lavender
1821,sativa,lavender haze
1822,hybrid,lavender jones
1823,hybrid,lazy lightning
1824,hybrid,lazy train
1825,hybrid,le silver royale
1826,sativa,leda uno
1827,indica,lee roy
1828,hybrid,legalized og
1829,indica,legend og
1830,sativa,legend of nigeria
1831,sativa,legendary lemon
1832,hybrid,lem chem
1833,hybrid,lemon alien dawg
1834,hybrid,lemon banana sherbet
1835,hybrid,lemon bananas
1836,sativa,lemon bubble
1837,sativa,lemon cake
1838,hybrid,lemon cookies
1839,sativa,lemon crme
1840,hybrid,lemon daddy
1841,hybrid,lemon diesel
1842,hybrid,lemon drop
1843,hybrid,lemon fire
1844,sativa,lemon g
1845,hybrid,lemon garlic og
1846,sativa,lemon haze
1847,sativa,lemon ice
1848,sativa,lemon jack
1849,hybrid,lemon jeffery
1850,hybrid,lemon kush
1851,hybrid,lemon kush headband
1852,hybrid,lemon larry lavender
1853,hybrid,lemon marmalade
1854,sativa,lemon meringue
1855,hybrid,lemon og haze
1856,sativa,lemon jack
1857,hybrid,lemon jeffery
1858,hybrid,lemon kush
1859,hybrid,lemon kush headband
1860,hybrid,lemon larry lavender
1861,hybrid,lemon marmalade
1862,sativa,lemon meringue
1863,hybrid,lemon og haze
1864,hybrid,lemon og
1865,sativa,lemon pie
1866,hybrid,lemon prevention
1867,sativa,lemon sativa
1868,hybrid,lemon skunk
1869,hybrid,lemon sorbet 3
1870,hybrid,lemon tangie
1871,sativa,lemon thai
1872,hybrid,lemon thai kush
1873,hybrid,lemon tree
1874,hybrid,lemon walker og
1875,hybrid,lemon wreck
1876,sativa,lemon zest
1877,hybrid,lemonberry
1878,hybrid,lemonchello 28
1879,hybrid,lemonder
1880,hybrid,lemongrass
1881,hybrid,lemonhead og
1882,sativa,lennon
1883,sativa,leonidas
1884,hybrid,lethal purple
1885,hybrid,liberty haze
1886,hybrid,lifesaver
1887,hybrid,lifestar
1888,hybrid,lifter
1889,sativa,light of jah
1890,hybrid,lil sebastian
1891,hybrid,lime green skunk
1892,sativa,key lime haze
1893,indica,lime purple mist
1894,sativa,lime skunk
1895,indica,lime sorbet
1896,indica,lime tart
1897,sativa,limon
1898,indica,lions gate
1899,hybrid,lions milk
1900,indica,liquid butter
1901,hybrid,little devil
1902,hybrid,little dragon
1903,sativa,llanera
1904,hybrid,locktite
1905,indica,locomotion
1906,hybrid,lodi dodi
1907,hybrid,logic diesel
1908,hybrid,longbottom leaf
1909,hybrid,loopy fruit
1910,hybrid,lost coast ghost
1911,hybrid,lost coast hash plant
1912,hybrid,locktite
1913,indica,locomotion
1914,hybrid,lodi dodi
1915,hybrid,logic diesel
1916,hybrid,longbottom leaf
1917,hybrid,loopy fruit
1918,hybrid,lost coast ghost
1919,hybrid,lost coast hash plant
1920,hybrid,lost coast og
1921,hybrid,lost sierra night nurse
1922,hybrid,lotus larry
1923,hybrid,loud dream
1924,hybrid,loud lemonade
1925,hybrid,loud scout
1926,hybrid,love boat
1927,hybrid,love is love
1928,sativa,love potion
1929,indica,love potion 9
1930,hybrid,love triangle
1931,hybrid,lowryder
1932,hybrid,loyality
1933,hybrid,luca brasi
1934,hybrid,luca brasi x sour diesel
1935,indica,lucid bolt
1936,hybrid,lucid dream
1937,indica,lucifer og
1938,hybrid,lucky charms
1939,hybrid,lucy
1940,indica,m 39
1941,hybrid,m1 56
1942,hybrid,mac
1943,hybrid,mc1
1944,hybrid,milf
1945,indica,mk ultra
1946,hybrid,mad dawg
1947,indica,mad scientist
1948,indica,madagascar
1949,sativa,madcow
1950,hybrid,madman og
1951,indica,madzilla
1952,hybrid,mag 91
1953,indica,mag landrace
1954,hybrid,magellan
1955,indica,magic beans og
1956,hybrid,magic jordan
1957,hybrid,magic melon
1958,indica,magnificent mile
1959,hybrid,magnum
1960,hybrid,magnum opus
1961,sativa,magnum pi
1962,hybrid,mai tai cookies
1963,hybrid,majestic 12
1964,sativa,mako haze
1965,sativa,malakoff
1966,sativa,malawi
1967,sativa,malawi gold
1968,hybrid,magnum opus
1969,sativa,magnum pi
1970,hybrid,mai tai cookies
1971,hybrid,majestic 12
1972,sativa,mako haze
1973,sativa,malakoff
1974,sativa,malawi
1975,sativa,malawi gold
1976,hybrid,mammoth
1977,hybrid,mandala 1
1978,hybrid,mandarin cookies
1979,hybrid,mandarin dreams
1980,hybrid,mandarin jack
1981,indica,mandarin sunset
1982,hybrid,mandarin tk
1983,hybrid,mandarin zkittlez
1984,indica,mango
1985,sativa,mango dream
1986,hybrid,mango habanero
1987,sativa,mango haze
1988,hybrid,mango kush
1989,hybrid,mango sapphire
1990,hybrid,mango sherbert
1991,hybrid,mango tango
1992,indica,mangolicious
1993,hybrid,manitoba poison
1994,indica,maple leaf indica
1995,hybrid,maramota 10
1996,hybrid,marcosus marshmellow
1997,hybrid,margaret cho g
1998,hybrid,marionberry kush
1999,hybrid,marionberry pie
2000,hybrid,marleys collie
2001,hybrid,marmalade
2002,indica,mars og
2003,hybrid,martian candy
2004,hybrid,martian mean green
2005,indica,martian muffins
2006,indica,master bubba
2007,indica,master jedi
2008,indica,master kush
2009,indica,master og
2010,hybrid,master skunk
2011,hybrid,master yoda
2012,sativa,matanuska thunder fuck
2013,indica,mataro blue
2014,indica,matsu
2015,hybrid,mau mau
2016,sativa,maui
2017,hybrid,maui berry
2018,hybrid,maui bubble gift
2019,sativa,maui citrus punch
2020,hybrid,maui haole
2021,hybrid,maui mango diesel
2022,hybrid,maui pineapple chunk
2023,sativa,maui wowie
2024,sativa,maui
2025,hybrid,maui berry
2026,hybrid,maui bubble gift
2027,sativa,maui citrus punch
2028,hybrid,maui haole
2029,hybrid,maui mango diesel
2030,hybrid,maui pineapple chunk
2031,sativa,maui wowie
2032,hybrid,mauna kea white fire og
2033,indica,mazar i sharif
2034,indica,mazar kush
2035,hybrid,mazar x blueberry
2036,hybrid,skywalker og
2037,indica,mazari
2038,hybrid,mean misty
2039,sativa,medihaze
2040,hybrid,medibud
2041,indica,medical 49
2042,hybrid,medicine man
2043,hybrid,medicine woman
2044,hybrid,medusa
2045,hybrid,mega jackpot
2046,sativa,megalodon
2047,sativa,mekamika haze
2048,hybrid,melon gum
2049,hybrid,melonberry
2050,hybrid,member berry
2051,sativa,memory loss
2052,indica,mendo afgoo
2053,indica,mendo breath
2054,hybrid,mendo montage
2055,hybrid,mendo queen
2056,hybrid,mendo supremo
2057,hybrid,mendocino madness
2058,hybrid,mendocino purps
2059,indica,mercury og
2060,indica,merlot og
2061,sativa,mexican
2062,hybrid,mexican kush
2063,sativa,mexican sativa
2064,hybrid,michael phelps og
2065,sativa,michka
2066,sativa,mickey kush
2067,hybrid,middlefork
2068,sativa,middlefork x pineapple express
2069,hybrid,midnight
2070,hybrid,mighty glue
2071,hybrid,mighty quin
2072,hybrid,mike larry
2073,indica,milky way
2074,hybrid,millennium
2075,hybrid,mimosa
2076,hybrid,mint chocolate chip
2077,hybrid,mint lemonade
2078,hybrid,mission kush
2079,indica,misty kush
2080,hybrid,mike larry
2081,indica,milky way
2082,hybrid,millennium
2083,hybrid,mimosa
2084,hybrid,mint chocolate chip
2085,hybrid,mint lemonade
2086,hybrid,mission kush
2087,indica,misty kush
2088,hybrid,misty morning
2089,hybrid,mob boss
2090,sativa,moby dick
2091,hybrid,mochi
2092,indica,molokai frost
2093,indica,molokai purpz
2094,indica,money maker
2095,indica,monkey bread 1
2096,hybrid,monkey paw
2097,hybrid,monkey thunder
2098,indica,monolith
2099,indica,monster cookies
2100,hybrid,monster og
2101,hybrid,montana silvertip
2102,hybrid,moon cookies
2103,hybrid,moon drops
2104,indica,moon walk
2105,indica,moonbeam
2106,sativa,moondance
2107,sativa,moonshine haze
2108,hybrid,moontang
2109,hybrid,moonwalker kush
2110,sativa,moose and lobsta
2111,hybrid,more cowbell
2112,hybrid,morning glory
2113,hybrid,morning star
2114,indica,mossad
2115,indica,mossimo og
2116,indica,motavation
2117,sativa,mother tongue
2118,indica,mother of all cherries
2119,indica,mother of berries
2120,hybrid,mothers milk
2121,sativa,mothertongue
2122,sativa,mothers finest
2123,hybrid,mothers helper
2124,hybrid,motorbreath
2125,hybrid,mountain girl
2126,hybrid,mountain girl x grape ape
2127,sativa,mountain temple
2128,sativa,mountain thunder
2129,hybrid,mozambique poison
2130,indica,mr nice
2131,hybrid,mr tusk
2132,hybrid,ms universe
2133,indica,mt cook
2134,hybrid,mt hood magic
2135,hybrid,mt rainier
2136,sativa,mountain thunder
2137,hybrid,mozambique poison
2138,indica,mr nice
2139,hybrid,mr tusk
2140,hybrid,ms universe
2141,indica,mt cook
2142,hybrid,mt hood magic
2143,hybrid,mt rainier
2144,indica,mud bite
2145,indica,murkle
2146,hybrid,mystery 98
2147,hybrid,mystery jazz
2148,sativa,nl5 haze mist
2149,hybrid,ny cheese
2150,hybrid,ny 47
2151,hybrid,nyc diesel
2152,sativa,nypd
2153,hybrid,nanas fix
2154,sativa,narnia
2155,hybrid,nchoosha y
2156,hybrid,nebula
2157,hybrid,nebula ii cbd
2158,sativa,nectarine lips
2159,indica,negra 44
2160,hybrid,neil haze
2161,sativa,nepalese
2162,hybrid,nepalese jam
2163,indica,neptune kush
2164,indica,neptune og
2165,hybrid,neroli 91
2166,sativa,nevils wreck
2167,sativa,nevilles haze
2168,hybrid,new glue
2169,hybrid,newberry
2170,indica,nexus og
2171,indica,nice cherry
2172,indica,nicole kush
2173,indica,night nurse
2174,indica,night terror og
2175,indica,night train
2176,sativa,nightfire og
2177,hybrid,nightmare cookies
2178,hybrid,nightmare og
2179,sativa,nina limone
2180,hybrid,ninja fruit
2181,hybrid,nor cal purps
2182,indica,nordle
2183,indica,north american
2184,sativa,north american sativa
2185,indica,north indian
2186,indica,northernberry
2187,hybrid,northern cross
2188,indica,northern lights
2189,indica,northern lights 5
2190,sativa,northern lights 5 x haze
2191,hybrid,northern skunk
2192,sativa,north american sativa
2193,indica,north indian
2194,indica,northernberry
2195,hybrid,northern cross
2196,indica,northern lights
2197,indica,northern lights 5
2198,sativa,northern lights 5 x haze
2199,hybrid,northern skunk
2200,indica,northern wreck
2201,hybrid,northwest pineapple
2202,indica,nova
2203,hybrid,nuclear cookies
2204,indica,nuggetry og
2205,hybrid,nukeheads
2206,indica,nuken
2207,sativa,nurse jackie
2208,indica,oca gold
2209,hybrid,ocas cloud 9
2210,sativa,ocd
2211,hybrid,og 18
2212,indica,og 1 kenobi
2213,hybrid,og cheese
2214,hybrid,og chem
2215,hybrid,og diesel kush
