,frida,frisian-dew,frisian-duck,frostbite,frosted-cherry-cookies,frosted-freak,frosty,frosty-jesus,fruit-crusher,fruit-loops,fruit-punch,fruit-spirit,fruity-chronic-juice,fruity-widow,fruitylicious,fucking-incredible,full-moon,funfetti,funky-monkey,future,g-13,g-force,g13-diesel,g13-haze,g13-widow,gabriel-sherbet,galactic-jack,galactica-og,game-changer,gandalf-og,ganesh-berry,garlic-bud,gas-mask,gatekeeper-og,gelato,gelato-33,gemstone,georgia-pine,ghost-bubba,ghost-cookies,ghost-og,ghost-og-moonshine,ghost-rider-og,ghost-ship,ghost-train-haze,ghostbreath,gi-001,gigabud,gilz-nilz,ginger-ale,ginger-punch,glad-max,glass-apple,glass-slipper,glue-tech,gmo-cookies,gnome-walker,go-time,goat,goat-head,gobbilygoo,gobbstopper,god-bud,godberry,godfather-og,godfather-purple-kush,gods-bubba,gods-green-crack,gods-treat,godzilla,godzilla-blood,godzilla-glue,gog-magog,goji-diesel,goji-og,gold-kings-thai,goldberry,golden-calyx,golden-gage,golden-goat,golden-lemon,golden-nugget,golden-panda,golden-pineapple,golden-state-banana,golden-tangie,golden-ticket,golden-tiger,goldwing,goo,gooberry,good-medicine,gorilla-biscuit,gorilla-breath,gorilla-cookies,gorilla-girl,gorilla-grips,gorilla-snacks,gorkle,government-mule,grand-doggy-purps,grand-hindu,grand-hustle,granddaddy-purple,grandma-andersons-cookies,grandmas-batch,grandmas-sugar-cookies,grandpa-larry-og,grandpas-breath,grandpas-stash,granola-funk,grape-ape,grape-bubba,grape-calyx,grape-cookies,grape-drink,grape-god,grape-inferno,grape-jelly,grape-krush,grape-kush,grape-ox,grape-skunk,grape-soda,grape-valley-kush,grape-vine,grapefruit,grapefruit-diesel,grapefruit-haze,grapefruit-kush,gravity,grease-monkey,green-avenger,green-candy,green-cheese,green-crack,green-crack-cbd,green-crack-extreme,green-door-kush,green-dragon,green-dream,green-goblin,green-goddess,green-haze,green-hornet,green-kush,green-lantern,green-line-og,green-love-potion,green-magic,green-mango,green-monster,green-poison,green-python,green-queen,green-ribbon,gremlin,grilled-cheese,grimace,grimace-og,grimmdica,griz-kush,gsc,gto,guard-dawg,guava-cake,guava-chem,guava-gelato,guava-kush,gucci-og,guido-kush,gumbo,gummo,gummy-bears,gupta-kush,guptilla,gutbuster,hades-haze,hades-og,haleighs-hope,hammerhead,hannibal-nectar,haole,haoma,haoma-mist,happy-rancher,hardcore-og,harle-tsu,harlequin,harlequin-gdp,harley-storm,harmonia,harmony,harry-potter,hash-plant,hashbar-og,hashberry,hashplant-haze,hawaiian,hawaiian-cookies,hawaiian-delight,hawaiian-diesel,hawaiian-dream,hawaiian-fire,hawaiian-haze,hawaiian-mayan-gold,hawaiian-punch,hawaiian-purple-kush,hawaiian-sativa,hawaiian-skunk,hawaiian-snow,hawaiian-sunrise,hawaiian-thunder-fuck,hawaiian-trinity,hayleys-haze,haze,haze-berry,haze-heaven,haze-mist,haze-wreck,hazmat-og,head-cheese,head-trip,headband,headbanger,heatwave,heavenly-og,heavy-duty-fruity,heisenberg-kush,hell-raiser-og,hellfire-og,hells-og,hemlock,hempstar,hercules,herojuana,hibiscus-sunrise,high-noon-irish-cream,high-school-sweetheart,higher-power,highwayman,himalayan-blackberry,himalayan-gold,hindu-kush,hindu-skunk,hippie-chicken,hippie-crippler,hoarfrost,hogs-breath,hollands-hope,hollyweed,hollywood-og,holy-ghost,holy-grail-kush,honey-bananas,honey-boo-boo,honey-lemon-cheese,honey-rock,hong-kong,hoodwreck,horace,huckleberries,huckleberry,huckleberry-cough,huckleberry-diesel,huckleberry-hound,hulkamania,humboldt,humboldt-dream,humboldt-headband,humdinger-og,hurkle,hurricane,hustler-kush,i-95,ice,ice-cream,ice-cream-cake,ice-princess,ice-queen,ice-wreck,iced-grapefruit,iced-widow,ig-kush,ill-og,illuminati-og,in-the-pines,incredible-bulk,incredible-hulk,industrial-plant,ingrid,intergalactic,inzane-in-the-membrane,irene-kush,irish-cream,iron-triangle,island-haze,island-maui-haze,island-sweet-skunk,j-27,j1,jack-47,jack-burton,jack-diesel,jack-flash,jack-frost,jack-haze,jack-herer,jack-kush,jack-skellington,jack-smack,jack-the-ripper,jack-widow,jack-wreck,jackalope,jacked-up,jacks-cleaner,jacks-dragon-girl-7,jacks-dream,jacks-girl,jacky-girl,jacky-white,jah-goo,jah-kush,jahwaiian,jamaican,jamaican-dream,jamaican-lion,jamaican-pearl,jamba-juice,jane-doe,jasmin,jawa-pie,jazz,jean-guy,jedi-kush,jelly-roll,jenni,jenny-kush,jericho-haze,jesses-girl,jesus,jesus-og,jet-fuel,jilly-dawg,jillybean,jimi-hendrix,jock-horror,johnnys-tonic,jorges-diamond,josh-d-og,jr,js-famous-kush,jt15,juicy-fruit,juicy-jack,juliet,julius-caesar,jungle-juice,jungle-scout-cookies,jupiter-og,k-train,k1,k2,kaboom,kahuna,kaia-kush,kalashnikova,kc-33,kc-36,kt-dawg,sour-grapes,white-shark
10,,,Lack of Appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Headaches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,Inflammation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,Depression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,Insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,Pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,Insomnia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,Stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
